108	529	517	129	193	234	169	1.50	-76.80	-0.95	15858.53	75.45	3623.99	-236.07	686.65	311.50
108	529	517	130	192	234	168	1.14	-76.67	-1.01	15861.61	58.88	3633.59	-218.66	709.37	321.28
107	529	517	129	192	234	168	0.75	-76.43	-1.09	15873.53	37.93	3645.91	-199.53	739.10	329.96
108	529	517	130	192	233	168	-0.02	-76.02	-1.25	15881.65	-5.96	3694.82	-174.20	771.89	332.77
108	529	517	130	192	233	169	-0.47	-75.64	-1.36	15881.17	-36.66	3754.48	-150.29	775.55	320.13
108	529	517	130	193	233	169	-0.99	-75.40	-1.47	15886.31	-65.83	3816.15	-151.03	754.22	306.92
107	529	517	130	192	234	169	-1.55	-75.22	-1.59	15892.39	-100.94	3868.74	-138.28	718.61	286.57
108	529	517	130	192	233	169	-1.64	-75.15	-1.63	15898.37	-109.49	3896.51	-124.41	683.48	265.15
108	529	517	130	192	235	168	-1.71	-75.19	-1.62	15897.45	-107.02	3910.68	-138.64	641.21	250.84
109	530	517	130	192	233	168	-2.12	-75.19	-1.70	15894.38	-129.47	3927.15	-133.96	602.34	240.20
109	529	517	130	192	233	169	-2.10	-75.17	-1.71	15892.26	-133.79	3947.39	-124.41	574.38	224.94
108	529	517	130	192	233	168	-2.19	-75.15	-1.71	15886.25	-132.30	3961.42	-139.19	546.06	212.89
109	529	517	129	192	232	168	-2.36	-75.10	-1.74	15882.54	-139.29	3979.15	-150.63	523.86	199.40
109	529	517	130	192	233	168	-2.32	-75.06	-1.75	15865.21	-141.52	3983.79	-153.80	501.76	180.48
108	529	517	129	192	233	168	-2.47	-75.05	-1.74	15860.95	-138.65	3986.40	-183.91	492.02	172.15
109	529	517	130	192	233	168	-2.93	-74.90	-1.80	15851.50	-154.52	3999.48	-215.36	496.82	164.29
109	529	517	130	192	233	169	-3.38	-74.67	-1.90	15835.52	-181.19	4025.71	-218.70	511.33	148.88
108	529	517	130	192	233	169	-3.59	-74.37	-1.96	15814.75	-196.33	4072.82	-221.66	512.47	128.49
109	529	517	130	192	233	169	-3.72	-74.27	-2.01	15806.81	-209.11	4105.18	-247.23	490.69	110.86
109	529	517	131	192	233	169	-4.02	-74.20	-2.06	15804.07	-224.46	4123.12	-263.02	484.16	102.57
109	529	517	130	192	233	169	-3.68	-74.08	-2.01	15792.66	-209.24	4132.17	-252.77	485.15	93.44
109	529	517	130	192	233	169	-3.30	-73.96	-1.94	15784.03	-190.77	4152.96	-251.48	481.89	93.77
109	529	517	130	192	233	169	-3.41	-73.80	-1.95	15776.43	-193.64	4185.91	-258.75	475.70	99.08
109	530	517	131	192	232	169	-3.57	-73.72	-2.00	15774.21	-205.75	4214.01	-261.22	462.46	100.38
108	529	517	131	192	233	168	-3.81	-73.71	-2.05	15777.50	-221.67	4227.71	-252.91	448.54	98.46
109	529	517	131	192	233	168	-4.14	-73.64	-2.14	15785.22	-245.78	4253.13	-248.71	443.91	93.88
109	529	517	131	192	233	168	-4.72	-73.57	-2.27	15792.36	-280.29	4276.27	-276.57	424.57	71.89
108	529	517	130	192	232	169	-4.99	-73.53	-2.36	15793.14	-304.48	4312.86	-283.10	386.84	34.50
109	529	517	131	192	233	167	-4.60	-73.59	-2.32	15795.29	-294.05	4340.81	-270.09	340.20	-5.38
