88	532	517	154	90	227	165	-4.40	-67.69	-3.10	15083.18	-467.01	6077.02	288.80	227.44	-47.35 2
88	532	517	153	91	226	165	-4.31	-67.68	-3.08	15079.62	-460.86	6087.16	276.51	224.77	-53.63 2
88	532	517	153	91	227	166	-4.03	-67.70	-3.01	15081.44	-443.61	6090.61	280.19	212.73	-50.50 2
88	532	518	153	91	227	165	-3.80	-67.73	-2.95	15081.57	-426.23	6089.88	264.03	206.69	-34.87 2
88	532	518	152	91	228	164	-4.02	-67.72	-3.01	15076.29	-441.72	6091.38	248.28	198.26	-26.53 2
89	532	518	153	91	228	165	-3.84	-67.75	-2.99	15079.88	-437.04	6091.41	273.91	187.60	-26.95 2
89	532	517	153	91	228	166	-3.63	-67.75	-2.93	15076.08	-420.18	6088.64	262.22	185.27	-16.41 2
89	532	518	154	89	227	165	-3.92	-67.79	-2.98	15079.88	-435.97	6079.41	236.01	178.50	-5.48 2
88	532	517	153	90	227	166	-4.15	-67.82	-3.06	15080.28	-455.98	6070.44	236.71	179.78	-7.51 2
89	532	518	154	91	227	167	-4.18	-67.84	-3.07	15085.67	-457.98	6063.32	237.37	174.34	-21.24 2
88	532	518	154	91	227	165	-4.12	-67.84	-3.04	15089.39	-449.08	6063.55	208.90	172.72	-27.42 2
88	532	517	153	91	227	164	-4.40	-67.81	-3.10	15098.92	-467.62	6072.37	186.76	168.64	-34.60 2
88	532	517	154	91	228	166	-4.40	-67.91	-3.09	15106.77	-465.24	6058.95	173.07	157.45	-45.67 2
88	532	517	154	91	227	166	-4.51	-68.02	-3.09	15110.43	-465.98	6040.41	140.67	148.53	-55.79 2
88	532	517	154	91	227	166	-4.45	-68.03	-3.07	15110.11	-460.28	6032.79	127.48	148.96	-71.20 2
89	532	517	153	90	227	166	-4.12	-68.10	-2.96	15101.00	-431.87	6022.75	94.56	137.76	-84.44 2
88	532	517	153	90	228	166	-4.36	-68.12	-2.95	15099.95	-427.47	6012.41	40.43	140.02	-87.62 2
88	532	517	153	90	228	166	-4.44	-68.08	-2.96	15099.16	-431.90	6002.39	28.86	160.37	-97.29 2
88	532	517	154	92	228	166	-4.20	-67.90	-2.88	15082.40	-410.91	6013.87	18.92	179.15	-109.97 2
89	532	517	154	91	227	166	-4.04	-67.74	-2.83	15077.28	-397.36	6037.18	-5.13	185.84	-112.72 2
88	532	517	153	90	227	165	-3.88	-67.62	-2.77	15067.01	-380.29	6048.12	-16.02	198.40	-114.09 2
88	532	517	153	91	227	166	-3.62	-67.51	-2.68	15064.66	-357.68	6054.31	-30.87	220.93	-102.33 2
88	532	517	154	92	228	166	-3.65	-67.34	-2.69	15049.83	-358.99	6075.00	-42.83	235.88	-88.97 2
89	532	517	154	90	227	166	-3.67	-67.28	-2.69	15047.34	-359.44	6085.25	-53.09	240.54	-82.77 2
87	532	517	154	91	227	166	-3.74	-67.26	-2.70	15045.57	-361.27	6084.98	-69.83	245.01	-78.98 2
89	532	516	153	91	227	166	-3.96	-67.18	-2.74	15039.69	-370.01	6085.33	-85.59	263.91	-74.98 2
88	532	517	154	91	227	166	-4.05	-67.13	-2.79	15030.91	-382.31	6097.47	-86.81	268.97	-82.53 2
